title,author,pub,date,price
"Python Machine Learning, 3/E",Packt Publishing,"Raschka,  Sebastian  /  Mirjalili,  Vahid",2019년 12월,"43,000"
Python Game Programming By Example,Packt Publishing,"Alejandro Rodas de Paz, Joseph Howse",2015년 09월,"23,000"
Introduction to Machine Learning with Python: A Guide for Data Scientists,O'Reilly Media,"Guido,  Sarah /  Mueller,  Andreas C.",2016년 07월,"77,470"
사물인터넷 with Python 실전 프로젝트 가이드,아이콕스(iCox),"박진현, 이동수 저",2019년 08월,"24,700"
"Image Processing Masterclass with Python: 50+ Solutions and Techniques Solving Complex Digital Image Processing Challenges Using Numpy, Scipy, Pytorch",Bpb Publications,"Dey,  Sandipan",2021년 03월,"38,670"
Network Science with Python and NetworkX Quick Start Guide,Packt Publishing,"Platt,  Edward L.",2019년 04월,"19,000"
Meta Learning with Python,Packt Publishing,Sudharsan Ravichandiran,2018년 12월,"27,000"
R과 Python을 이용한 비모수통계학,자유아카데미,박상언 저,2022년 01월,"24,000"
Foundations of Deep Reinforcement Learning: Theory and Practice in Python,Addison-Wesley Professional,"Graesser,  Laura Harding /  Wah Loon,  Keng",2019년 10월,"64,550"
Mastering Reinforcement Learning with Python,Packt Publishing,Enes Bilgin,2020년 12월,"53,000"
Clean Code in Python,Packt Publishing,Mariano Anaya,2021년 01월,"37,000"
Python으로 학습하는 컴퓨터 알고리즘,홍릉,배인한 저,2020년 12월,"20,000"
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python",Packt Publishing,"Voron,  Francois",2021년 10월,"49,000"
Data Science from Scratch: First Principles with Python,Oreilly & Associates Inc,"Grus,  Joel",2019년 06월,"77,470"
Maya Programming with Python Cookbook,Packt Publishing,"Herbez,  Adrian",2016년 07월,"29,000"
Python for Everybody: Exploring Data in Python 3,Createspace Independent Publishing Platform,"Severance,  Dr Charles Russell  /  Blumenberg,  Sue  /  Hauser,  Elliott",2016년 04월,"12,890"
"Probabilistic Deep Learning: With Python, Keras and Tensorflow Probability",Manning Publications,"Duerr,  Oliver  /  Sick,  Beate  /  Murina,  Elvis",2020년 11월,"78,730"
Opencv 3 Computer Vision with Python Cookbook,Packt Publishing,"Spizhevoy,  Alexey  /  Rybnikov,  Aleksandr",2018년 03월,"39,000"
"Deep Reinforcement Learning with Python, 2/E",Packt Publishing,Sudharsan Ravichandiran,2020년 09월,"44,000"
Python in Easy Steps,In Easy Steps,Mike McGrath,2018년 08월,"20,640"
스마트로봇 EV3를 활용한 Python 프로그래밍,상학당,"남상엽, 김상범, 강현웅 저",2020년 09월,"30,000"
"Starting Out with Python, 4/E",Pearson Higher Education,Tony Gaddis,2018년 03월,"50,000"
코딩도장 튜토리얼로 배우는 Python : 1편 object,사도출판,"이호준,  배희성,  정민준 저",2017년 11월,"3,000"
Python for Finance Cookbook,Packt Publishing,Eryk Lewinson,2020년 01월,"43,000"
Hands-On Exploratory Data Analysis with Python,Packt Publishing,"Suresh Kumar Mukhiya, Usman Ahmed",2020년 03월,"35,000"
Learning Python with Raspberry Pi,Wiley,Ben Everard 저,2014년 02월,"22,840"
Testing Python,Wiley,David Sale 저,2014년 07월,"34,260"
Maschinelles Lernen mit Python und R fur Dummies,Wiley-VCH,Simone Linke 저,2017년 08월,"41,540"
Python programmieren lernen fur Dummies,Wiley-VCH,Sandra Geisler 저,2015년 08월,"15,210"
Python Projects,Wrox,Alan Gauld 저,2014년 12월,"45,680"
Machine Learning with Spark and Python,Wiley,Michael Bowles 저,2019년 10월,"38,060"
Python programmieren lernen fur Dummies,Wiley-VCH,John Paul Mueller 저,2018년 08월,"28,760"
Data Science mit Python fur Dummies,Wiley-VCH,Luca Massaron 저,2016년 05월,"38,280"
Beginning Programming with Python For Dummies,For Dummies,John Paul Mueller 저,2018년 01월,"26,650"
Derivatives Analytics with Python,Wiley,Yves Hilpisch 저,2015년 06월,"101,510"
Beginning Programming with Python for Dummies,For Dummies,"Mueller,  John Paul",2018년 03월,"38,570"
Machine Learning in Python,Wiley,Michael Bowles 저,2015년 03월,"52,010"
Bioinformatics Programming in Python,Wiley-Blackwell,Ruediger-Marcus Flaig 저,2011년 10월,"112,920"
Chemical and Biomedical Engineering Calculations Using Python,Wiley,Jeffrey J. Heys 저,2016년 12월,"83,740"
Python for Kids for Dummies,John Wiley & Sons Inc,"Scott,  Brendan",2015년 08월,"33,010"
Digital Signal Processing (DSP) with Python Programming,Wiley-ISTE,Maurice Charbit 저,2017년 01월,"167,480"
Python object(객체 분석 및 활용),불잉걸,강성모 저,2020년 02월,"15,000"
